ESWind,available_date,prediction_date
3863.66666667,2015-01-03 00:00:00,2015-01-04 11:00:00
3731.66666667,2015-01-03 00:00:00,2015-01-04 12:00:00
3607.33333333,2015-01-03 00:00:00,2015-01-04 13:00:00
3459.0,2015-01-03 00:00:00,2015-01-04 14:00:00
3267.5,2015-01-03 00:00:00,2015-01-04 15:00:00
3286.83333333,2015-01-03 00:00:00,2015-01-04 16:00:00
3667.33333333,2015-01-03 00:00:00,2015-01-04 17:00:00
3766.66666667,2015-01-03 00:00:00,2015-01-04 18:00:00
3612.5,2015-01-03 00:00:00,2015-01-04 19:00:00
3175.0,2015-01-03 00:00:00,2015-01-04 20:00:00
2743.66666667,2015-01-03 00:00:00,2015-01-04 21:00:00
2076.33333333,2015-01-03 00:00:00,2015-01-04 22:00:00
1579.33333333,2015-01-03 00:00:00,2015-01-04 23:00:00
1242.5,2015-01-04 00:00:00,2015-01-05 00:00:00
1160.16666667,2015-01-04 00:00:00,2015-01-05 01:00:00
1148.33333333,2015-01-04 00:00:00,2015-01-05 02:00:00
1092.5,2015-01-04 00:00:00,2015-01-05 03:00:00
1027.83333333,2015-01-04 00:00:00,2015-01-05 04:00:00
1187.16666667,2015-01-04 00:00:00,2015-01-05 05:00:00
1374.16666667,2015-01-04 00:00:00,2015-01-05 06:00:00
1578.16666667,2015-01-04 00:00:00,2015-01-05 07:00:00
1596.0,2015-01-04 00:00:00,2015-01-05 08:00:00
1498.5,2015-01-04 00:00:00,2015-01-05 09:00:00
1339.66666667,2015-01-04 00:00:00,2015-01-05 10:00:00
1241.66666667,2015-01-04 00:00:00,2015-01-05 11:00:00
1299.0,2015-01-04 00:00:00,2015-01-05 12:00:00
1351.33333333,2015-01-04 00:00:00,2015-01-05 13:00:00
1335.83333333,2015-01-04 00:00:00,2015-01-05 14:00:00
1354.16666667,2015-01-04 00:00:00,2015-01-05 15:00:00
1422.33333333,2015-01-04 00:00:00,2015-01-05 16:00:00
1617.66666667,2015-01-04 00:00:00,2015-01-05 17:00:00
1771.83333333,2015-01-04 00:00:00,2015-01-05 18:00:00
1777.66666667,2015-01-04 00:00:00,2015-01-05 19:00:00
1757.33333333,2015-01-04 00:00:00,2015-01-05 20:00:00
1816.83333333,2015-01-04 00:00:00,2015-01-05 21:00:00
2077.16666667,2015-01-04 00:00:00,2015-01-05 22:00:00
2337.0,2015-01-04 00:00:00,2015-01-05 23:00:00
2669.5,2015-01-05 00:00:00,2015-01-06 00:00:00
2809.83333333,2015-01-05 00:00:00,2015-01-06 01:00:00
2979.66666667,2015-01-05 00:00:00,2015-01-06 02:00:00
3200.16666667,2015-01-05 00:00:00,2015-01-06 03:00:00
3277.16666667,2015-01-05 00:00:00,2015-01-06 04:00:00
3381.83333333,2015-01-05 00:00:00,2015-01-06 05:00:00
3292.33333333,2015-01-05 00:00:00,2015-01-06 06:00:00
3302.66666667,2015-01-05 00:00:00,2015-01-06 07:00:00
3225.33333333,2015-01-05 00:00:00,2015-01-06 08:00:00
2598.83333333,2015-01-05 00:00:00,2015-01-06 09:00:00
2033.0,2015-01-05 00:00:00,2015-01-06 10:00:00
1765.83333333,2015-01-05 00:00:00,2015-01-06 11:00:00
1771.33333333,2015-01-05 00:00:00,2015-01-06 12:00:00
1841.33333333,2015-01-05 00:00:00,2015-01-06 13:00:00
1750.33333333,2015-01-05 00:00:00,2015-01-06 14:00:00
1662.5,2015-01-05 00:00:00,2015-01-06 15:00:00
1547.5,2015-01-05 00:00:00,2015-01-06 16:00:00
1621.66666667,2015-01-05 00:00:00,2015-01-06 17:00:00
1863.83333333,2015-01-05 00:00:00,2015-01-06 18:00:00
2274.5,2015-01-05 00:00:00,2015-01-06 19:00:00
2629.16666667,2015-01-05 00:00:00,2015-01-06 20:00:00
2662.16666667,2015-01-05 00:00:00,2015-01-06 21:00:00
2616.16666667,2015-01-05 00:00:00,2015-01-06 22:00:00
2412.66666667,2015-01-05 00:00:00,2015-01-06 23:00:00
2013.16666667,2015-01-06 00:00:00,2015-01-07 00:00:00
1564.66666667,2015-01-06 00:00:00,2015-01-07 01:00:00
1116.0,2015-01-06 00:00:00,2015-01-07 02:00:00
785.833333333,2015-01-06 00:00:00,2015-01-07 03:00:00
660.666666667,2015-01-06 00:00:00,2015-01-07 04:00:00
685.666666667,2015-01-06 00:00:00,2015-01-07 05:00:00
885.5,2015-01-06 00:00:00,2015-01-07 06:00:00
1202.33333333,2015-01-06 00:00:00,2015-01-07 07:00:00
1160.66666667,2015-01-06 00:00:00,2015-01-07 08:00:00
771.833333333,2015-01-06 00:00:00,2015-01-07 09:00:00
513.166666667,2015-01-06 00:00:00,2015-01-07 10:00:00
431.0,2015-01-06 00:00:00,2015-01-07 11:00:00
381.166666667,2015-01-06 00:00:00,2015-01-07 12:00:00
338.5,2015-01-06 00:00:00,2015-01-07 13:00:00
300.666666667,2015-01-06 00:00:00,2015-01-07 14:00:00
327.5,2015-01-06 00:00:00,2015-01-07 15:00:00
423.0,2015-01-06 00:00:00,2015-01-07 16:00:00
690.166666667,2015-01-06 00:00:00,2015-01-07 17:00:00
813.0,2015-01-06 00:00:00,2015-01-07 18:00:00
860.833333333,2015-01-06 00:00:00,2015-01-07 19:00:00
807.833333333,2015-01-06 00:00:00,2015-01-07 20:00:00
847.666666667,2015-01-06 00:00:00,2015-01-07 21:00:00
884.833333333,2015-01-06 00:00:00,2015-01-07 22:00:00
999.166666667,2015-01-06 00:00:00,2015-01-07 23:00:00
1213.5,2015-01-07 00:00:00,2015-01-08 00:00:00
1430.16666667,2015-01-07 00:00:00,2015-01-08 01:00:00
1573.33333333,2015-01-07 00:00:00,2015-01-08 02:00:00
1677.16666667,2015-01-07 00:00:00,2015-01-08 03:00:00
1883.0,2015-01-07 00:00:00,2015-01-08 04:00:00
2027.83333333,2015-01-07 00:00:00,2015-01-08 05:00:00
1944.83333333,2015-01-07 00:00:00,2015-01-08 06:00:00
2010.83333333,2015-01-07 00:00:00,2015-01-08 07:00:00
1937.16666667,2015-01-07 00:00:00,2015-01-08 08:00:00
2272.33333333,2015-01-07 00:00:00,2015-01-08 09:00:00
1915.33333333,2015-01-07 00:00:00,2015-01-08 10:00:00
1936.16666667,2015-01-07 00:00:00,2015-01-08 11:00:00
2185.5,2015-01-07 00:00:00,2015-01-08 12:00:00
2332.83333333,2015-01-07 00:00:00,2015-01-08 13:00:00
2418.0,2015-01-07 00:00:00,2015-01-08 14:00:00
2012.0,2015-01-07 00:00:00,2015-01-08 15:00:00
1981.0,2015-01-07 00:00:00,2015-01-08 16:00:00
2259.66666667,2015-01-07 00:00:00,2015-01-08 17:00:00
3027.33333333,2015-01-07 00:00:00,2015-01-08 18:00:00
3527.66666667,2015-01-07 00:00:00,2015-01-08 19:00:00
4088.83333333,2015-01-07 00:00:00,2015-01-08 20:00:00
4795.83333333,2015-01-07 00:00:00,2015-01-08 21:00:00
5207.83333333,2015-01-07 00:00:00,2015-01-08 22:00:00
5078.33333333,2015-01-07 00:00:00,2015-01-08 23:00:00
4358.83333333,2015-01-08 00:00:00,2015-01-09 00:00:00
3775.5,2015-01-08 00:00:00,2015-01-09 01:00:00
3201.83333333,2015-01-08 00:00:00,2015-01-09 02:00:00
3183.16666667,2015-01-08 00:00:00,2015-01-09 03:00:00
3203.0,2015-01-08 00:00:00,2015-01-09 04:00:00
3463.5,2015-01-08 00:00:00,2015-01-09 05:00:00
3696.5,2015-01-08 00:00:00,2015-01-09 06:00:00
3506.83333333,2015-01-08 00:00:00,2015-01-09 07:00:00
3447.5,2015-01-08 00:00:00,2015-01-09 08:00:00
3445.0,2015-01-08 00:00:00,2015-01-09 09:00:00
3344.33333333,2015-01-08 00:00:00,2015-01-09 10:00:00
3221.16666667,2015-01-08 00:00:00,2015-01-09 11:00:00
3191.33333333,2015-01-08 00:00:00,2015-01-09 12:00:00
3159.33333333,2015-01-08 00:00:00,2015-01-09 13:00:00
3064.83333333,2015-01-08 00:00:00,2015-01-09 14:00:00
3066.16666667,2015-01-08 00:00:00,2015-01-09 15:00:00
3039.0,2015-01-08 00:00:00,2015-01-09 16:00:00
3220.0,2015-01-08 00:00:00,2015-01-09 17:00:00
3539.66666667,2015-01-08 00:00:00,2015-01-09 18:00:00
3748.33333333,2015-01-08 00:00:00,2015-01-09 19:00:00
3843.16666667,2015-01-08 00:00:00,2015-01-09 20:00:00
3641.83333333,2015-01-08 00:00:00,2015-01-09 21:00:00
3546.5,2015-01-08 00:00:00,2015-01-09 22:00:00
3549.5,2015-01-08 00:00:00,2015-01-09 23:00:00
3648.83333333,2015-01-09 00:00:00,2015-01-10 00:00:00
3889.66666667,2015-01-09 00:00:00,2015-01-10 01:00:00
4028.33333333,2015-01-09 00:00:00,2015-01-10 02:00:00
4117.16666667,2015-01-09 00:00:00,2015-01-10 03:00:00
4417.33333333,2015-01-09 00:00:00,2015-01-10 04:00:00
4791.33333333,2015-01-09 00:00:00,2015-01-10 05:00:00
5071.33333333,2015-01-09 00:00:00,2015-01-10 06:00:00
5080.83333333,2015-01-09 00:00:00,2015-01-10 07:00:00
4699.83333333,2015-01-09 00:00:00,2015-01-10 08:00:00
4090.66666667,2015-01-09 00:00:00,2015-01-10 09:00:00
3224.66666667,2015-01-09 00:00:00,2015-01-10 10:00:00
2794.16666667,2015-01-09 00:00:00,2015-01-10 11:00:00
2302.33333333,2015-01-09 00:00:00,2015-01-10 12:00:00
2089.0,2015-01-09 00:00:00,2015-01-10 13:00:00
2142.83333333,2015-01-09 00:00:00,2015-01-10 14:00:00
2105.0,2015-01-09 00:00:00,2015-01-10 15:00:00
2685.33333333,2015-01-09 00:00:00,2015-01-10 16:00:00
3529.33333333,2015-01-09 00:00:00,2015-01-10 17:00:00
4086.0,2015-01-09 00:00:00,2015-01-10 18:00:00
4489.83333333,2015-01-09 00:00:00,2015-01-10 19:00:00
4872.16666667,2015-01-09 00:00:00,2015-01-10 20:00:00
5032.66666667,2015-01-09 00:00:00,2015-01-10 21:00:00
5369.0,2015-01-09 00:00:00,2015-01-10 22:00:00
5627.83333333,2015-01-09 00:00:00,2015-01-10 23:00:00
5593.83333333,2015-01-10 00:00:00,2015-01-11 00:00:00
5973.33333333,2015-01-10 00:00:00,2015-01-11 01:00:00
6488.66666667,2015-01-10 00:00:00,2015-01-11 02:00:00
7035.83333333,2015-01-10 00:00:00,2015-01-11 03:00:00
7538.33333333,2015-01-10 00:00:00,2015-01-11 04:00:00
7592.66666667,2015-01-10 00:00:00,2015-01-11 05:00:00
7860.16666667,2015-01-10 00:00:00,2015-01-11 06:00:00
8124.83333333,2015-01-10 00:00:00,2015-01-11 07:00:00
8049.5,2015-01-10 00:00:00,2015-01-11 08:00:00
7756.16666667,2015-01-10 00:00:00,2015-01-11 09:00:00
7379.0,2015-01-10 00:00:00,2015-01-11 10:00:00
6953.0,2015-01-10 00:00:00,2015-01-11 11:00:00
6641.16666667,2015-01-10 00:00:00,2015-01-11 12:00:00
6199.33333333,2015-01-10 00:00:00,2015-01-11 13:00:00
5646.0,2015-01-10 00:00:00,2015-01-11 14:00:00
5339.83333333,2015-01-10 00:00:00,2015-01-11 15:00:00
4953.5,2015-01-10 00:00:00,2015-01-11 16:00:00
4863.83333333,2015-01-10 00:00:00,2015-01-11 17:00:00
4667.5,2015-01-10 00:00:00,2015-01-11 18:00:00
4499.66666667,2015-01-10 00:00:00,2015-01-11 19:00:00
4087.83333333,2015-01-10 00:00:00,2015-01-11 20:00:00
3712.66666667,2015-01-10 00:00:00,2015-01-11 21:00:00
3726.66666667,2015-01-10 00:00:00,2015-01-11 22:00:00
3876.5,2015-01-10 00:00:00,2015-01-11 23:00:00
4008.5,2015-01-11 00:00:00,2015-01-12 00:00:00
4227.33333333,2015-01-11 00:00:00,2015-01-12 01:00:00
4677.83333333,2015-01-11 00:00:00,2015-01-12 02:00:00
5022.83333333,2015-01-11 00:00:00,2015-01-12 03:00:00
5138.66666667,2015-01-11 00:00:00,2015-01-12 04:00:00
5432.5,2015-01-11 00:00:00,2015-01-12 05:00:00
5745.16666667,2015-01-11 00:00:00,2015-01-12 06:00:00
6099.0,2015-01-11 00:00:00,2015-01-12 07:00:00
6290.16666667,2015-01-11 00:00:00,2015-01-12 08:00:00
6267.5,2015-01-11 00:00:00,2015-01-12 09:00:00
5978.0,2015-01-11 00:00:00,2015-01-12 10:00:00
6073.5,2015-01-11 00:00:00,2015-01-12 11:00:00
6402.66666667,2015-01-11 00:00:00,2015-01-12 12:00:00
6406.66666667,2015-01-11 00:00:00,2015-01-12 13:00:00
6307.66666667,2015-01-11 00:00:00,2015-01-12 14:00:00
5965.66666667,2015-01-11 00:00:00,2015-01-12 15:00:00
5953.83333333,2015-01-11 00:00:00,2015-01-12 16:00:00
6653.66666667,2015-01-11 00:00:00,2015-01-12 17:00:00
7159.16666667,2015-01-11 00:00:00,2015-01-12 18:00:00
7484.66666667,2015-01-11 00:00:00,2015-01-12 19:00:00
7675.83333333,2015-01-11 00:00:00,2015-01-12 20:00:00
7960.33333333,2015-01-11 00:00:00,2015-01-12 21:00:00
8159.66666667,2015-01-11 00:00:00,2015-01-12 22:00:00
8049.0,2015-01-11 00:00:00,2015-01-12 23:00:00
7695.0,2015-01-12 00:00:00,2015-01-13 00:00:00
7367.0,2015-01-12 00:00:00,2015-01-13 01:00:00
6984.83333333,2015-01-12 00:00:00,2015-01-13 02:00:00
6964.0,2015-01-12 00:00:00,2015-01-13 03:00:00
6901.5,2015-01-12 00:00:00,2015-01-13 04:00:00
6839.16666667,2015-01-12 00:00:00,2015-01-13 05:00:00
6852.5,2015-01-12 00:00:00,2015-01-13 06:00:00
6957.16666667,2015-01-12 00:00:00,2015-01-13 07:00:00
6946.83333333,2015-01-12 00:00:00,2015-01-13 08:00:00
6382.0,2015-01-12 00:00:00,2015-01-13 09:00:00
5698.83333333,2015-01-12 00:00:00,2015-01-13 10:00:00
5867.33333333,2015-01-12 00:00:00,2015-01-13 11:00:00
6264.33333333,2015-01-12 00:00:00,2015-01-13 12:00:00
6621.66666667,2015-01-12 00:00:00,2015-01-13 13:00:00
6502.83333333,2015-01-12 00:00:00,2015-01-13 14:00:00
6220.0,2015-01-12 00:00:00,2015-01-13 15:00:00
5777.33333333,2015-01-12 00:00:00,2015-01-13 16:00:00
5616.33333333,2015-01-12 00:00:00,2015-01-13 17:00:00
5648.0,2015-01-12 00:00:00,2015-01-13 18:00:00
5782.33333333,2015-01-12 00:00:00,2015-01-13 19:00:00
5698.66666667,2015-01-12 00:00:00,2015-01-13 20:00:00
5674.66666667,2015-01-12 00:00:00,2015-01-13 21:00:00
5909.33333333,2015-01-12 00:00:00,2015-01-13 22:00:00
6125.83333333,2015-01-12 00:00:00,2015-01-13 23:00:00
6621.0,2015-01-13 00:00:00,2015-01-14 00:00:00
6792.5,2015-01-13 00:00:00,2015-01-14 01:00:00
6753.5,2015-01-13 00:00:00,2015-01-14 02:00:00
6784.0,2015-01-13 00:00:00,2015-01-14 03:00:00
6298.16666667,2015-01-13 00:00:00,2015-01-14 04:00:00
5475.0,2015-01-13 00:00:00,2015-01-14 05:00:00
4977.66666667,2015-01-13 00:00:00,2015-01-14 06:00:00
4784.33333333,2015-01-13 00:00:00,2015-01-14 07:00:00
4651.5,2015-01-13 00:00:00,2015-01-14 08:00:00
4447.33333333,2015-01-13 00:00:00,2015-01-14 09:00:00
4286.33333333,2015-01-13 00:00:00,2015-01-14 10:00:00
4650.66666667,2015-01-13 00:00:00,2015-01-14 11:00:00
5106.16666667,2015-01-13 00:00:00,2015-01-14 12:00:00
5311.16666667,2015-01-13 00:00:00,2015-01-14 13:00:00
5513.66666667,2015-01-13 00:00:00,2015-01-14 14:00:00
5524.66666667,2015-01-13 00:00:00,2015-01-14 15:00:00
5419.0,2015-01-13 00:00:00,2015-01-14 16:00:00
5766.33333333,2015-01-13 00:00:00,2015-01-14 17:00:00
6268.83333333,2015-01-13 00:00:00,2015-01-14 18:00:00
6844.0,2015-01-13 00:00:00,2015-01-14 19:00:00
7527.16666667,2015-01-13 00:00:00,2015-01-14 20:00:00
7897.16666667,2015-01-13 00:00:00,2015-01-14 21:00:00
8168.5,2015-01-13 00:00:00,2015-01-14 22:00:00
8371.33333333,2015-01-13 00:00:00,2015-01-14 23:00:00
8409.66666667,2015-01-14 00:00:00,2015-01-15 00:00:00
8343.16666667,2015-01-14 00:00:00,2015-01-15 01:00:00
8334.5,2015-01-14 00:00:00,2015-01-15 02:00:00
8106.0,2015-01-14 00:00:00,2015-01-15 03:00:00
7911.5,2015-01-14 00:00:00,2015-01-15 04:00:00
8011.83333333,2015-01-14 00:00:00,2015-01-15 05:00:00
8243.66666667,2015-01-14 00:00:00,2015-01-15 06:00:00
8761.0,2015-01-14 00:00:00,2015-01-15 07:00:00
9255.0,2015-01-14 00:00:00,2015-01-15 08:00:00
9160.33333333,2015-01-14 00:00:00,2015-01-15 09:00:00
9254.16666667,2015-01-14 00:00:00,2015-01-15 10:00:00
9693.5,2015-01-14 00:00:00,2015-01-15 11:00:00
9575.33333333,2015-01-14 00:00:00,2015-01-15 12:00:00
9871.66666667,2015-01-14 00:00:00,2015-01-15 13:00:00
10179.0,2015-01-14 00:00:00,2015-01-15 14:00:00
10278.5,2015-01-14 00:00:00,2015-01-15 15:00:00
10115.3333333,2015-01-14 00:00:00,2015-01-15 16:00:00
10054.0,2015-01-14 00:00:00,2015-01-15 17:00:00
10643.3333333,2015-01-14 00:00:00,2015-01-15 18:00:00
11059.6666667,2015-01-14 00:00:00,2015-01-15 19:00:00
11882.3333333,2015-01-14 00:00:00,2015-01-15 20:00:00
12130.3333333,2015-01-14 00:00:00,2015-01-15 21:00:00
11357.6666667,2015-01-14 00:00:00,2015-01-15 22:00:00
10592.0,2015-01-14 00:00:00,2015-01-15 23:00:00
9861.66666667,2015-01-15 00:00:00,2015-01-16 00:00:00
9270.83333333,2015-01-15 00:00:00,2015-01-16 01:00:00
8447.5,2015-01-15 00:00:00,2015-01-16 02:00:00
8728.33333333,2015-01-15 00:00:00,2015-01-16 03:00:00
8982.5,2015-01-15 00:00:00,2015-01-16 04:00:00
8629.5,2015-01-15 00:00:00,2015-01-16 05:00:00
8683.16666667,2015-01-15 00:00:00,2015-01-16 06:00:00
9061.83333333,2015-01-15 00:00:00,2015-01-16 07:00:00
9413.0,2015-01-15 00:00:00,2015-01-16 08:00:00
9469.83333333,2015-01-15 00:00:00,2015-01-16 09:00:00
10075.6666667,2015-01-15 00:00:00,2015-01-16 10:00:00
11037.8333333,2015-01-15 00:00:00,2015-01-16 11:00:00
12308.1666667,2015-01-15 00:00:00,2015-01-16 12:00:00
13370.0,2015-01-15 00:00:00,2015-01-16 13:00:00
13307.8333333,2015-01-15 00:00:00,2015-01-16 14:00:00
12247.8333333,2015-01-15 00:00:00,2015-01-16 15:00:00
11336.1666667,2015-01-15 00:00:00,2015-01-16 16:00:00
9973.83333333,2015-01-15 00:00:00,2015-01-16 17:00:00
9545.66666667,2015-01-15 00:00:00,2015-01-16 18:00:00
9953.83333333,2015-01-15 00:00:00,2015-01-16 19:00:00
9616.16666667,2015-01-15 00:00:00,2015-01-16 20:00:00
9626.33333333,2015-01-15 00:00:00,2015-01-16 21:00:00
9595.0,2015-01-15 00:00:00,2015-01-16 22:00:00
9555.5,2015-01-15 00:00:00,2015-01-16 23:00:00
9297.5,2015-01-16 00:00:00,2015-01-17 00:00:00
8704.0,2015-01-16 00:00:00,2015-01-17 01:00:00
8041.33333333,2015-01-16 00:00:00,2015-01-17 02:00:00
7687.33333333,2015-01-16 00:00:00,2015-01-17 03:00:00
7183.33333333,2015-01-16 00:00:00,2015-01-17 04:00:00
6603.0,2015-01-16 00:00:00,2015-01-17 05:00:00
6520.33333333,2015-01-16 00:00:00,2015-01-17 06:00:00
6294.0,2015-01-16 00:00:00,2015-01-17 07:00:00
5843.66666667,2015-01-16 00:00:00,2015-01-17 08:00:00
5377.33333333,2015-01-16 00:00:00,2015-01-17 09:00:00
5285.83333333,2015-01-16 00:00:00,2015-01-17 10:00:00
5529.16666667,2015-01-16 00:00:00,2015-01-17 11:00:00
6001.5,2015-01-16 00:00:00,2015-01-17 12:00:00
6448.66666667,2015-01-16 00:00:00,2015-01-17 13:00:00
6520.0,2015-01-16 00:00:00,2015-01-17 14:00:00
6210.0,2015-01-16 00:00:00,2015-01-17 15:00:00
5688.83333333,2015-01-16 00:00:00,2015-01-17 16:00:00
5418.83333333,2015-01-16 00:00:00,2015-01-17 17:00:00
5762.66666667,2015-01-16 00:00:00,2015-01-17 18:00:00
6105.66666667,2015-01-16 00:00:00,2015-01-17 19:00:00
6203.5,2015-01-16 00:00:00,2015-01-17 20:00:00
6103.16666667,2015-01-16 00:00:00,2015-01-17 21:00:00
6340.0,2015-01-16 00:00:00,2015-01-17 22:00:00
6440.33333333,2015-01-16 00:00:00,2015-01-17 23:00:00
6554.16666667,2015-01-17 00:00:00,2015-01-18 00:00:00
6699.33333333,2015-01-17 00:00:00,2015-01-18 01:00:00
6698.83333333,2015-01-17 00:00:00,2015-01-18 02:00:00
6431.83333333,2015-01-17 00:00:00,2015-01-18 03:00:00
6502.33333333,2015-01-17 00:00:00,2015-01-18 04:00:00
6440.0,2015-01-17 00:00:00,2015-01-18 05:00:00
6330.66666667,2015-01-17 00:00:00,2015-01-18 06:00:00
6063.0,2015-01-17 00:00:00,2015-01-18 07:00:00
5528.33333333,2015-01-17 00:00:00,2015-01-18 08:00:00
4996.33333333,2015-01-17 00:00:00,2015-01-18 09:00:00
4922.16666667,2015-01-17 00:00:00,2015-01-18 10:00:00
4996.0,2015-01-17 00:00:00,2015-01-18 11:00:00
4850.66666667,2015-01-17 00:00:00,2015-01-18 12:00:00
4732.33333333,2015-01-17 00:00:00,2015-01-18 13:00:00
5166.5,2015-01-17 00:00:00,2015-01-18 14:00:00
6191.83333333,2015-01-17 00:00:00,2015-01-18 15:00:00
6872.83333333,2015-01-17 00:00:00,2015-01-18 16:00:00
7112.83333333,2015-01-17 00:00:00,2015-01-18 17:00:00
6729.66666667,2015-01-17 00:00:00,2015-01-18 18:00:00
6441.83333333,2015-01-17 00:00:00,2015-01-18 19:00:00
6094.0,2015-01-17 00:00:00,2015-01-18 20:00:00
5331.83333333,2015-01-17 00:00:00,2015-01-18 21:00:00
4833.0,2015-01-17 00:00:00,2015-01-18 22:00:00
