Demand,available_date,prediction_date
29997.3333333,2015-01-02 00:00:00,2015-01-03 09:00:00
30498.3333333,2015-01-02 00:00:00,2015-01-03 10:00:00
29741.6666667,2015-01-02 00:00:00,2015-01-03 11:00:00
29496.8333333,2015-01-02 00:00:00,2015-01-03 12:00:00
29107.8333333,2015-01-02 00:00:00,2015-01-03 13:00:00
28307.5,2015-01-02 00:00:00,2015-01-03 14:00:00
27575.8333333,2015-01-02 00:00:00,2015-01-03 15:00:00
27743.3333333,2015-01-02 00:00:00,2015-01-03 16:00:00
30290.6666667,2015-01-02 00:00:00,2015-01-03 17:00:00
31923.0,2015-01-02 00:00:00,2015-01-03 18:00:00
32575.5,2015-01-02 00:00:00,2015-01-03 19:00:00
32459.3333333,2015-01-02 00:00:00,2015-01-03 20:00:00
31319.3333333,2015-01-02 00:00:00,2015-01-03 21:00:00
29603.1666667,2015-01-02 00:00:00,2015-01-03 22:00:00
26577.1666667,2015-01-02 00:00:00,2015-01-03 23:00:00
23778.5,2015-01-03 00:00:00,2015-01-04 00:00:00
22634.3333333,2015-01-03 00:00:00,2015-01-04 01:00:00
21724.8333333,2015-01-03 00:00:00,2015-01-04 02:00:00
21236.5,2015-01-03 00:00:00,2015-01-04 03:00:00
21156.8333333,2015-01-03 00:00:00,2015-01-04 04:00:00
21310.3333333,2015-01-03 00:00:00,2015-01-04 05:00:00
22074.5,2015-01-03 00:00:00,2015-01-04 06:00:00
22706.1666667,2015-01-03 00:00:00,2015-01-04 07:00:00
24693.0,2015-01-03 00:00:00,2015-01-04 08:00:00
27339.6666667,2015-01-03 00:00:00,2015-01-04 09:00:00
28219.8333333,2015-01-03 00:00:00,2015-01-04 10:00:00
27672.3333333,2015-01-03 00:00:00,2015-01-04 11:00:00
27828.0,2015-01-03 00:00:00,2015-01-04 12:00:00
27666.1666667,2015-01-03 00:00:00,2015-01-04 13:00:00
26576.3333333,2015-01-03 00:00:00,2015-01-04 14:00:00
26088.0,2015-01-03 00:00:00,2015-01-04 15:00:00
26701.5,2015-01-03 00:00:00,2015-01-04 16:00:00
28315.6666667,2015-01-03 00:00:00,2015-01-04 17:00:00
30562.3333333,2015-01-03 00:00:00,2015-01-04 18:00:00
31460.3333333,2015-01-03 00:00:00,2015-01-04 19:00:00
31819.3333333,2015-01-03 00:00:00,2015-01-04 20:00:00
31011.8333333,2015-01-03 00:00:00,2015-01-04 21:00:00
28671.6666667,2015-01-03 00:00:00,2015-01-04 22:00:00
26004.1666667,2015-01-03 00:00:00,2015-01-04 23:00:00
23482.0,2015-01-04 00:00:00,2015-01-05 00:00:00
21870.0,2015-01-04 00:00:00,2015-01-05 01:00:00
21347.6666667,2015-01-04 00:00:00,2015-01-05 02:00:00
21170.8333333,2015-01-04 00:00:00,2015-01-05 03:00:00
21915.3333333,2015-01-04 00:00:00,2015-01-05 04:00:00
23146.3333333,2015-01-04 00:00:00,2015-01-05 05:00:00
26568.8333333,2015-01-04 00:00:00,2015-01-05 06:00:00
28657.0,2015-01-04 00:00:00,2015-01-05 07:00:00
31190.6666667,2015-01-04 00:00:00,2015-01-05 08:00:00
32836.0,2015-01-04 00:00:00,2015-01-05 09:00:00
32954.1666667,2015-01-04 00:00:00,2015-01-05 10:00:00
32058.0,2015-01-04 00:00:00,2015-01-05 11:00:00
31690.6666667,2015-01-04 00:00:00,2015-01-05 12:00:00
31044.6666667,2015-01-04 00:00:00,2015-01-05 13:00:00
30107.3333333,2015-01-04 00:00:00,2015-01-05 14:00:00
29599.6666667,2015-01-04 00:00:00,2015-01-05 15:00:00
29334.6666667,2015-01-04 00:00:00,2015-01-05 16:00:00
31114.5,2015-01-04 00:00:00,2015-01-05 17:00:00
31437.6666667,2015-01-04 00:00:00,2015-01-05 18:00:00
31397.0,2015-01-04 00:00:00,2015-01-05 19:00:00
31826.3333333,2015-01-04 00:00:00,2015-01-05 20:00:00
30509.6666667,2015-01-04 00:00:00,2015-01-05 21:00:00
29103.6666667,2015-01-04 00:00:00,2015-01-05 22:00:00
26244.6666667,2015-01-04 00:00:00,2015-01-05 23:00:00
23858.3333333,2015-01-05 00:00:00,2015-01-06 00:00:00
21985.0,2015-01-05 00:00:00,2015-01-06 01:00:00
20735.8333333,2015-01-05 00:00:00,2015-01-06 02:00:00
20429.1666667,2015-01-05 00:00:00,2015-01-06 03:00:00
20164.3333333,2015-01-05 00:00:00,2015-01-06 04:00:00
20672.3333333,2015-01-05 00:00:00,2015-01-06 05:00:00
21328.1666667,2015-01-05 00:00:00,2015-01-06 06:00:00
21129.5,2015-01-05 00:00:00,2015-01-06 07:00:00
23156.1666667,2015-01-05 00:00:00,2015-01-06 08:00:00
25136.8333333,2015-01-05 00:00:00,2015-01-06 09:00:00
26478.1666667,2015-01-05 00:00:00,2015-01-06 10:00:00
26144.8333333,2015-01-05 00:00:00,2015-01-06 11:00:00
26876.0,2015-01-05 00:00:00,2015-01-06 12:00:00
26682.3333333,2015-01-05 00:00:00,2015-01-06 13:00:00
25327.1666667,2015-01-05 00:00:00,2015-01-06 14:00:00
24544.8333333,2015-01-05 00:00:00,2015-01-06 15:00:00
24856.6666667,2015-01-05 00:00:00,2015-01-06 16:00:00
27282.6666667,2015-01-05 00:00:00,2015-01-06 17:00:00
28838.1666667,2015-01-05 00:00:00,2015-01-06 18:00:00
29910.8333333,2015-01-05 00:00:00,2015-01-06 19:00:00
30433.1666667,2015-01-05 00:00:00,2015-01-06 20:00:00
30065.0,2015-01-05 00:00:00,2015-01-06 21:00:00
28053.3333333,2015-01-05 00:00:00,2015-01-06 22:00:00
25632.3333333,2015-01-05 00:00:00,2015-01-06 23:00:00
23031.3333333,2015-01-06 00:00:00,2015-01-07 00:00:00
21832.3333333,2015-01-06 00:00:00,2015-01-07 01:00:00
21188.8333333,2015-01-06 00:00:00,2015-01-07 02:00:00
21306.5,2015-01-06 00:00:00,2015-01-07 03:00:00
21841.5,2015-01-06 00:00:00,2015-01-07 04:00:00
24465.0,2015-01-06 00:00:00,2015-01-07 05:00:00
29263.3333333,2015-01-06 00:00:00,2015-01-07 06:00:00
34008.6666667,2015-01-06 00:00:00,2015-01-07 07:00:00
35637.0,2015-01-06 00:00:00,2015-01-07 08:00:00
37320.1666667,2015-01-06 00:00:00,2015-01-07 09:00:00
37363.5,2015-01-06 00:00:00,2015-01-07 10:00:00
36464.6666667,2015-01-06 00:00:00,2015-01-07 11:00:00
35960.8333333,2015-01-06 00:00:00,2015-01-07 12:00:00
34618.6666667,2015-01-06 00:00:00,2015-01-07 13:00:00
34093.0,2015-01-06 00:00:00,2015-01-07 14:00:00
33918.8333333,2015-01-06 00:00:00,2015-01-07 15:00:00
34515.3333333,2015-01-06 00:00:00,2015-01-07 16:00:00
36824.8333333,2015-01-06 00:00:00,2015-01-07 17:00:00
38010.1666667,2015-01-06 00:00:00,2015-01-07 18:00:00
37582.0,2015-01-06 00:00:00,2015-01-07 19:00:00
37250.5,2015-01-06 00:00:00,2015-01-07 20:00:00
34993.0,2015-01-06 00:00:00,2015-01-07 21:00:00
31724.5,2015-01-06 00:00:00,2015-01-07 22:00:00
29203.8333333,2015-01-06 00:00:00,2015-01-07 23:00:00
26056.5,2015-01-07 00:00:00,2015-01-08 00:00:00
24442.3333333,2015-01-07 00:00:00,2015-01-08 01:00:00
23857.3333333,2015-01-07 00:00:00,2015-01-08 02:00:00
23537.3333333,2015-01-07 00:00:00,2015-01-08 03:00:00
24139.0,2015-01-07 00:00:00,2015-01-08 04:00:00
26428.8333333,2015-01-07 00:00:00,2015-01-08 05:00:00
31131.1666667,2015-01-07 00:00:00,2015-01-08 06:00:00
35001.5,2015-01-07 00:00:00,2015-01-08 07:00:00
37067.1666667,2015-01-07 00:00:00,2015-01-08 08:00:00
37363.5,2015-01-07 00:00:00,2015-01-08 09:00:00
37558.3333333,2015-01-07 00:00:00,2015-01-08 10:00:00
37058.6666667,2015-01-07 00:00:00,2015-01-08 11:00:00
36131.5,2015-01-07 00:00:00,2015-01-08 12:00:00
34752.5,2015-01-07 00:00:00,2015-01-08 13:00:00
34186.5,2015-01-07 00:00:00,2015-01-08 14:00:00
34060.3333333,2015-01-07 00:00:00,2015-01-08 15:00:00
34640.8333333,2015-01-07 00:00:00,2015-01-08 16:00:00
36840.3333333,2015-01-07 00:00:00,2015-01-08 17:00:00
38068.1666667,2015-01-07 00:00:00,2015-01-08 18:00:00
38035.6666667,2015-01-07 00:00:00,2015-01-08 19:00:00
37572.0,2015-01-07 00:00:00,2015-01-08 20:00:00
35146.0,2015-01-07 00:00:00,2015-01-08 21:00:00
32105.0,2015-01-07 00:00:00,2015-01-08 22:00:00
29076.1666667,2015-01-07 00:00:00,2015-01-08 23:00:00
26220.8333333,2015-01-08 00:00:00,2015-01-09 00:00:00
24611.0,2015-01-08 00:00:00,2015-01-09 01:00:00
23930.0,2015-01-08 00:00:00,2015-01-09 02:00:00
23670.3333333,2015-01-08 00:00:00,2015-01-09 03:00:00
24249.3333333,2015-01-08 00:00:00,2015-01-09 04:00:00
26657.5,2015-01-08 00:00:00,2015-01-09 05:00:00
31402.5,2015-01-08 00:00:00,2015-01-09 06:00:00
35487.8333333,2015-01-08 00:00:00,2015-01-09 07:00:00
36878.0,2015-01-08 00:00:00,2015-01-09 08:00:00
37585.1666667,2015-01-08 00:00:00,2015-01-09 09:00:00
37356.3333333,2015-01-08 00:00:00,2015-01-09 10:00:00
36442.1666667,2015-01-08 00:00:00,2015-01-09 11:00:00
35860.8333333,2015-01-08 00:00:00,2015-01-09 12:00:00
34555.6666667,2015-01-08 00:00:00,2015-01-09 13:00:00
33857.3333333,2015-01-08 00:00:00,2015-01-09 14:00:00
32938.0,2015-01-08 00:00:00,2015-01-09 15:00:00
33175.5,2015-01-08 00:00:00,2015-01-09 16:00:00
35495.5,2015-01-08 00:00:00,2015-01-09 17:00:00
36708.1666667,2015-01-08 00:00:00,2015-01-09 18:00:00
36357.8333333,2015-01-08 00:00:00,2015-01-09 19:00:00
35944.8333333,2015-01-08 00:00:00,2015-01-09 20:00:00
33959.8333333,2015-01-08 00:00:00,2015-01-09 21:00:00
31315.5,2015-01-08 00:00:00,2015-01-09 22:00:00
29107.5,2015-01-08 00:00:00,2015-01-09 23:00:00
26438.5,2015-01-09 00:00:00,2015-01-10 00:00:00
24840.6666667,2015-01-09 00:00:00,2015-01-10 01:00:00
23839.3333333,2015-01-09 00:00:00,2015-01-10 02:00:00
23313.0,2015-01-09 00:00:00,2015-01-10 03:00:00
23297.5,2015-01-09 00:00:00,2015-01-10 04:00:00
23720.1666667,2015-01-09 00:00:00,2015-01-10 05:00:00
25032.6666667,2015-01-09 00:00:00,2015-01-10 06:00:00
26682.0,2015-01-09 00:00:00,2015-01-10 07:00:00
29787.1666667,2015-01-09 00:00:00,2015-01-10 08:00:00
32059.0,2015-01-09 00:00:00,2015-01-10 09:00:00
32327.8333333,2015-01-09 00:00:00,2015-01-10 10:00:00
31479.3333333,2015-01-09 00:00:00,2015-01-10 11:00:00
30828.5,2015-01-09 00:00:00,2015-01-10 12:00:00
30053.6666667,2015-01-09 00:00:00,2015-01-10 13:00:00
28889.6666667,2015-01-09 00:00:00,2015-01-10 14:00:00
28198.0,2015-01-09 00:00:00,2015-01-10 15:00:00
28335.8333333,2015-01-09 00:00:00,2015-01-10 16:00:00
30884.5,2015-01-09 00:00:00,2015-01-10 17:00:00
32288.8333333,2015-01-09 00:00:00,2015-01-10 18:00:00
33358.1666667,2015-01-09 00:00:00,2015-01-10 19:00:00
33357.3333333,2015-01-09 00:00:00,2015-01-10 20:00:00
31766.1666667,2015-01-09 00:00:00,2015-01-10 21:00:00
29710.5,2015-01-09 00:00:00,2015-01-10 22:00:00
27418.6666667,2015-01-09 00:00:00,2015-01-10 23:00:00
24911.5,2015-01-10 00:00:00,2015-01-11 00:00:00
23049.5,2015-01-10 00:00:00,2015-01-11 01:00:00
21965.8333333,2015-01-10 00:00:00,2015-01-11 02:00:00
21437.6666667,2015-01-10 00:00:00,2015-01-11 03:00:00
21436.1666667,2015-01-10 00:00:00,2015-01-11 04:00:00
21842.0,2015-01-10 00:00:00,2015-01-11 05:00:00
22994.3333333,2015-01-10 00:00:00,2015-01-11 06:00:00
23691.6666667,2015-01-10 00:00:00,2015-01-11 07:00:00
25262.0,2015-01-10 00:00:00,2015-01-11 08:00:00
27540.0,2015-01-10 00:00:00,2015-01-11 09:00:00
27969.1666667,2015-01-10 00:00:00,2015-01-11 10:00:00
27757.3333333,2015-01-10 00:00:00,2015-01-11 11:00:00
28156.1666667,2015-01-10 00:00:00,2015-01-11 12:00:00
28093.8333333,2015-01-10 00:00:00,2015-01-11 13:00:00
26920.3333333,2015-01-10 00:00:00,2015-01-11 14:00:00
26380.5,2015-01-10 00:00:00,2015-01-11 15:00:00
26436.6666667,2015-01-10 00:00:00,2015-01-11 16:00:00
28925.1666667,2015-01-10 00:00:00,2015-01-11 17:00:00
30944.3333333,2015-01-10 00:00:00,2015-01-11 18:00:00
32079.8333333,2015-01-10 00:00:00,2015-01-11 19:00:00
32702.8333333,2015-01-10 00:00:00,2015-01-11 20:00:00
31876.3333333,2015-01-10 00:00:00,2015-01-11 21:00:00
29548.3333333,2015-01-10 00:00:00,2015-01-11 22:00:00
26448.0,2015-01-10 00:00:00,2015-01-11 23:00:00
24157.6666667,2015-01-11 00:00:00,2015-01-12 00:00:00
22994.1666667,2015-01-11 00:00:00,2015-01-12 01:00:00
22290.3333333,2015-01-11 00:00:00,2015-01-12 02:00:00
22131.5,2015-01-11 00:00:00,2015-01-12 03:00:00
22987.0,2015-01-11 00:00:00,2015-01-12 04:00:00
25665.0,2015-01-11 00:00:00,2015-01-12 05:00:00
29810.8333333,2015-01-11 00:00:00,2015-01-12 06:00:00
33546.1666667,2015-01-11 00:00:00,2015-01-12 07:00:00
35642.6666667,2015-01-11 00:00:00,2015-01-12 08:00:00
36896.1666667,2015-01-11 00:00:00,2015-01-12 09:00:00
36736.6666667,2015-01-11 00:00:00,2015-01-12 10:00:00
35987.1666667,2015-01-11 00:00:00,2015-01-12 11:00:00
35563.8333333,2015-01-11 00:00:00,2015-01-12 12:00:00
34229.5,2015-01-11 00:00:00,2015-01-12 13:00:00
33242.6666667,2015-01-11 00:00:00,2015-01-12 14:00:00
33252.6666667,2015-01-11 00:00:00,2015-01-12 15:00:00
33792.0,2015-01-11 00:00:00,2015-01-12 16:00:00
36180.5,2015-01-11 00:00:00,2015-01-12 17:00:00
37452.0,2015-01-11 00:00:00,2015-01-12 18:00:00
37773.0,2015-01-11 00:00:00,2015-01-12 19:00:00
36803.6666667,2015-01-11 00:00:00,2015-01-12 20:00:00
34230.6666667,2015-01-11 00:00:00,2015-01-12 21:00:00
31075.3333333,2015-01-11 00:00:00,2015-01-12 22:00:00
28237.1666667,2015-01-11 00:00:00,2015-01-12 23:00:00
25804.1666667,2015-01-12 00:00:00,2015-01-13 00:00:00
24453.6666667,2015-01-12 00:00:00,2015-01-13 01:00:00
23840.0,2015-01-12 00:00:00,2015-01-13 02:00:00
23649.6666667,2015-01-12 00:00:00,2015-01-13 03:00:00
24130.6666667,2015-01-12 00:00:00,2015-01-13 04:00:00
26589.1666667,2015-01-12 00:00:00,2015-01-13 05:00:00
31287.6666667,2015-01-12 00:00:00,2015-01-13 06:00:00
35240.5,2015-01-12 00:00:00,2015-01-13 07:00:00
36375.8333333,2015-01-12 00:00:00,2015-01-13 08:00:00
36744.8333333,2015-01-12 00:00:00,2015-01-13 09:00:00
36525.1666667,2015-01-12 00:00:00,2015-01-13 10:00:00
35814.0,2015-01-12 00:00:00,2015-01-13 11:00:00
35246.5,2015-01-12 00:00:00,2015-01-13 12:00:00
33983.0,2015-01-12 00:00:00,2015-01-13 13:00:00
33339.5,2015-01-12 00:00:00,2015-01-13 14:00:00
33214.8333333,2015-01-12 00:00:00,2015-01-13 15:00:00
33384.3333333,2015-01-12 00:00:00,2015-01-13 16:00:00
35511.6666667,2015-01-12 00:00:00,2015-01-13 17:00:00
37257.5,2015-01-12 00:00:00,2015-01-13 18:00:00
37610.6666667,2015-01-12 00:00:00,2015-01-13 19:00:00
36962.8333333,2015-01-12 00:00:00,2015-01-13 20:00:00
34482.1666667,2015-01-12 00:00:00,2015-01-13 21:00:00
31336.8333333,2015-01-12 00:00:00,2015-01-13 22:00:00
28616.8333333,2015-01-12 00:00:00,2015-01-13 23:00:00
26124.0,2015-01-13 00:00:00,2015-01-14 00:00:00
24465.0,2015-01-13 00:00:00,2015-01-14 01:00:00
23952.1666667,2015-01-13 00:00:00,2015-01-14 02:00:00
23782.1666667,2015-01-13 00:00:00,2015-01-14 03:00:00
24352.1666667,2015-01-13 00:00:00,2015-01-14 04:00:00
26678.5,2015-01-13 00:00:00,2015-01-14 05:00:00
31626.5,2015-01-13 00:00:00,2015-01-14 06:00:00
35221.3333333,2015-01-13 00:00:00,2015-01-14 07:00:00
36178.0,2015-01-13 00:00:00,2015-01-14 08:00:00
36491.8333333,2015-01-13 00:00:00,2015-01-14 09:00:00
36110.0,2015-01-13 00:00:00,2015-01-14 10:00:00
35595.0,2015-01-13 00:00:00,2015-01-14 11:00:00
35245.6666667,2015-01-13 00:00:00,2015-01-14 12:00:00
33931.8333333,2015-01-13 00:00:00,2015-01-14 13:00:00
33322.8333333,2015-01-13 00:00:00,2015-01-14 14:00:00
33182.0,2015-01-13 00:00:00,2015-01-14 15:00:00
33631.0,2015-01-13 00:00:00,2015-01-14 16:00:00
36060.5,2015-01-13 00:00:00,2015-01-14 17:00:00
37656.3333333,2015-01-13 00:00:00,2015-01-14 18:00:00
38029.1666667,2015-01-13 00:00:00,2015-01-14 19:00:00
37264.1666667,2015-01-13 00:00:00,2015-01-14 20:00:00
34624.3333333,2015-01-13 00:00:00,2015-01-14 21:00:00
31421.5,2015-01-13 00:00:00,2015-01-14 22:00:00
28386.3333333,2015-01-13 00:00:00,2015-01-14 23:00:00
26043.8333333,2015-01-14 00:00:00,2015-01-15 00:00:00
24713.8333333,2015-01-14 00:00:00,2015-01-15 01:00:00
23997.1666667,2015-01-14 00:00:00,2015-01-15 02:00:00
23874.5,2015-01-14 00:00:00,2015-01-15 03:00:00
24295.5,2015-01-14 00:00:00,2015-01-15 04:00:00
26611.3333333,2015-01-14 00:00:00,2015-01-15 05:00:00
31664.8333333,2015-01-14 00:00:00,2015-01-15 06:00:00
34469.8333333,2015-01-14 00:00:00,2015-01-15 07:00:00
35837.0,2015-01-14 00:00:00,2015-01-15 08:00:00
36253.1666667,2015-01-14 00:00:00,2015-01-15 09:00:00
36033.1666667,2015-01-14 00:00:00,2015-01-15 10:00:00
35455.0,2015-01-14 00:00:00,2015-01-15 11:00:00
35254.6666667,2015-01-14 00:00:00,2015-01-15 12:00:00
33965.8333333,2015-01-14 00:00:00,2015-01-15 13:00:00
33624.6666667,2015-01-14 00:00:00,2015-01-15 14:00:00
33581.8333333,2015-01-14 00:00:00,2015-01-15 15:00:00
34020.0,2015-01-14 00:00:00,2015-01-15 16:00:00
35990.6666667,2015-01-14 00:00:00,2015-01-15 17:00:00
37416.6666667,2015-01-14 00:00:00,2015-01-15 18:00:00
37497.3333333,2015-01-14 00:00:00,2015-01-15 19:00:00
37040.6666667,2015-01-14 00:00:00,2015-01-15 20:00:00
34459.3333333,2015-01-14 00:00:00,2015-01-15 21:00:00
31168.5,2015-01-14 00:00:00,2015-01-15 22:00:00
28531.8333333,2015-01-14 00:00:00,2015-01-15 23:00:00
26232.5,2015-01-15 00:00:00,2015-01-16 00:00:00
24745.0,2015-01-15 00:00:00,2015-01-16 01:00:00
24111.0,2015-01-15 00:00:00,2015-01-16 02:00:00
23903.8333333,2015-01-15 00:00:00,2015-01-16 03:00:00
24437.6666667,2015-01-15 00:00:00,2015-01-16 04:00:00
26770.1666667,2015-01-15 00:00:00,2015-01-16 05:00:00
31538.0,2015-01-15 00:00:00,2015-01-16 06:00:00
35279.8333333,2015-01-15 00:00:00,2015-01-16 07:00:00
35963.1666667,2015-01-15 00:00:00,2015-01-16 08:00:00
36537.8333333,2015-01-15 00:00:00,2015-01-16 09:00:00
36558.5,2015-01-15 00:00:00,2015-01-16 10:00:00
36328.6666667,2015-01-15 00:00:00,2015-01-16 11:00:00
35710.6666667,2015-01-15 00:00:00,2015-01-16 12:00:00
34410.1666667,2015-01-15 00:00:00,2015-01-16 13:00:00
33580.1666667,2015-01-15 00:00:00,2015-01-16 14:00:00
33375.5,2015-01-15 00:00:00,2015-01-16 15:00:00
33708.1666667,2015-01-15 00:00:00,2015-01-16 16:00:00
35707.0,2015-01-15 00:00:00,2015-01-16 17:00:00
36931.0,2015-01-15 00:00:00,2015-01-16 18:00:00
36568.6666667,2015-01-15 00:00:00,2015-01-16 19:00:00
35740.5,2015-01-15 00:00:00,2015-01-16 20:00:00
33772.6666667,2015-01-15 00:00:00,2015-01-16 21:00:00
31205.6666667,2015-01-15 00:00:00,2015-01-16 22:00:00
29295.1666667,2015-01-15 00:00:00,2015-01-16 23:00:00
26615.5,2015-01-16 00:00:00,2015-01-17 00:00:00
24820.3333333,2015-01-16 00:00:00,2015-01-17 01:00:00
23909.0,2015-01-16 00:00:00,2015-01-17 02:00:00
23472.3333333,2015-01-16 00:00:00,2015-01-17 03:00:00
23570.6666667,2015-01-16 00:00:00,2015-01-17 04:00:00
23976.5,2015-01-16 00:00:00,2015-01-17 05:00:00
25314.1666667,2015-01-16 00:00:00,2015-01-17 06:00:00
26797.0,2015-01-16 00:00:00,2015-01-17 07:00:00
29661.0,2015-01-16 00:00:00,2015-01-17 08:00:00
32052.0,2015-01-16 00:00:00,2015-01-17 09:00:00
32545.8333333,2015-01-16 00:00:00,2015-01-17 10:00:00
31930.1666667,2015-01-16 00:00:00,2015-01-17 11:00:00
31802.1666667,2015-01-16 00:00:00,2015-01-17 12:00:00
31319.5,2015-01-16 00:00:00,2015-01-17 13:00:00
29840.5,2015-01-16 00:00:00,2015-01-17 14:00:00
29093.3333333,2015-01-16 00:00:00,2015-01-17 15:00:00
29065.3333333,2015-01-16 00:00:00,2015-01-17 16:00:00
31363.5,2015-01-16 00:00:00,2015-01-17 17:00:00
33103.5,2015-01-16 00:00:00,2015-01-17 18:00:00
33991.0,2015-01-16 00:00:00,2015-01-17 19:00:00
34064.0,2015-01-16 00:00:00,2015-01-17 20:00:00
32703.5,2015-01-16 00:00:00,2015-01-17 21:00:00
30500.5,2015-01-16 00:00:00,2015-01-17 22:00:00
27995.3333333,2015-01-16 00:00:00,2015-01-17 23:00:00
25225.5,2015-01-17 00:00:00,2015-01-18 00:00:00
23410.6666667,2015-01-17 00:00:00,2015-01-18 01:00:00
22511.0,2015-01-17 00:00:00,2015-01-18 02:00:00
22015.6666667,2015-01-17 00:00:00,2015-01-18 03:00:00
22062.1666667,2015-01-17 00:00:00,2015-01-18 04:00:00
22384.5,2015-01-17 00:00:00,2015-01-18 05:00:00
23275.6666667,2015-01-17 00:00:00,2015-01-18 06:00:00
23982.1666667,2015-01-17 00:00:00,2015-01-18 07:00:00
25814.3333333,2015-01-17 00:00:00,2015-01-18 08:00:00
28288.3333333,2015-01-17 00:00:00,2015-01-18 09:00:00
29839.1666667,2015-01-17 00:00:00,2015-01-18 10:00:00
30215.0,2015-01-17 00:00:00,2015-01-18 11:00:00
30730.5,2015-01-17 00:00:00,2015-01-18 12:00:00
30528.0,2015-01-17 00:00:00,2015-01-18 13:00:00
29650.0,2015-01-17 00:00:00,2015-01-18 14:00:00
29013.6666667,2015-01-17 00:00:00,2015-01-18 15:00:00
28774.6666667,2015-01-17 00:00:00,2015-01-18 16:00:00
30712.6666667,2015-01-17 00:00:00,2015-01-18 17:00:00
32665.5,2015-01-17 00:00:00,2015-01-18 18:00:00
33835.0,2015-01-17 00:00:00,2015-01-18 19:00:00
34276.3333333,2015-01-17 00:00:00,2015-01-18 20:00:00
33327.5,2015-01-17 00:00:00,2015-01-18 21:00:00
30809.1666667,2015-01-17 00:00:00,2015-01-18 22:00:00
27439.6666667,2015-01-17 00:00:00,2015-01-18 23:00:00
