PTWind,available_date,prediction_date
286.55,2015-01-04 00:00:00,2015-01-05 16:00:00
362.2,2015-01-04 00:00:00,2015-01-05 17:00:00
386.975,2015-01-04 00:00:00,2015-01-05 18:00:00
313.35,2015-01-04 00:00:00,2015-01-05 19:00:00
214.575,2015-01-04 00:00:00,2015-01-05 20:00:00
243.775,2015-01-04 00:00:00,2015-01-05 21:00:00
331.35,2015-01-04 00:00:00,2015-01-05 22:00:00
386.325,2015-01-04 00:00:00,2015-01-05 23:00:00
428.575,2015-01-05 00:00:00,2015-01-06 00:00:00
373.025,2015-01-05 00:00:00,2015-01-06 01:00:00
311.3,2015-01-05 00:00:00,2015-01-06 02:00:00
276.3,2015-01-05 00:00:00,2015-01-06 03:00:00
218.925,2015-01-05 00:00:00,2015-01-06 04:00:00
213.05,2015-01-05 00:00:00,2015-01-06 05:00:00
338.025,2015-01-05 00:00:00,2015-01-06 06:00:00
338.95,2015-01-05 00:00:00,2015-01-06 07:00:00
267.6,2015-01-05 00:00:00,2015-01-06 08:00:00
189.4,2015-01-05 00:00:00,2015-01-06 09:00:00
130.075,2015-01-05 00:00:00,2015-01-06 10:00:00
72.9,2015-01-05 00:00:00,2015-01-06 11:00:00
43.6,2015-01-05 00:00:00,2015-01-06 12:00:00
45.575,2015-01-05 00:00:00,2015-01-06 13:00:00
33.75,2015-01-05 00:00:00,2015-01-06 14:00:00
60.875,2015-01-05 00:00:00,2015-01-06 15:00:00
97.15,2015-01-05 00:00:00,2015-01-06 16:00:00
193.45,2015-01-05 00:00:00,2015-01-06 17:00:00
311.775,2015-01-05 00:00:00,2015-01-06 18:00:00
443.3,2015-01-05 00:00:00,2015-01-06 19:00:00
536.3,2015-01-05 00:00:00,2015-01-06 20:00:00
661.225,2015-01-05 00:00:00,2015-01-06 21:00:00
635.95,2015-01-05 00:00:00,2015-01-06 22:00:00
639.95,2015-01-05 00:00:00,2015-01-06 23:00:00
578.3,2015-01-06 00:00:00,2015-01-07 00:00:00
443.95,2015-01-06 00:00:00,2015-01-07 01:00:00
330.775,2015-01-06 00:00:00,2015-01-07 02:00:00
234.075,2015-01-06 00:00:00,2015-01-07 03:00:00
198.45,2015-01-06 00:00:00,2015-01-07 04:00:00
323.65,2015-01-06 00:00:00,2015-01-07 05:00:00
326.15,2015-01-06 00:00:00,2015-01-07 06:00:00
346.825,2015-01-06 00:00:00,2015-01-07 07:00:00
407.975,2015-01-06 00:00:00,2015-01-07 08:00:00
336.475,2015-01-06 00:00:00,2015-01-07 09:00:00
243.425,2015-01-06 00:00:00,2015-01-07 10:00:00
179.25,2015-01-06 00:00:00,2015-01-07 11:00:00
111.025,2015-01-06 00:00:00,2015-01-07 12:00:00
69.075,2015-01-06 00:00:00,2015-01-07 13:00:00
49.725,2015-01-06 00:00:00,2015-01-07 14:00:00
63.55,2015-01-06 00:00:00,2015-01-07 15:00:00
79.925,2015-01-06 00:00:00,2015-01-07 16:00:00
89.525,2015-01-06 00:00:00,2015-01-07 17:00:00
97.075,2015-01-06 00:00:00,2015-01-07 18:00:00
115.1,2015-01-06 00:00:00,2015-01-07 19:00:00
101.725,2015-01-06 00:00:00,2015-01-07 20:00:00
77.55,2015-01-06 00:00:00,2015-01-07 21:00:00
54.95,2015-01-06 00:00:00,2015-01-07 22:00:00
65.75,2015-01-06 00:00:00,2015-01-07 23:00:00
68.7,2015-01-07 00:00:00,2015-01-08 00:00:00
85.4,2015-01-07 00:00:00,2015-01-08 01:00:00
84.575,2015-01-07 00:00:00,2015-01-08 02:00:00
87.05,2015-01-07 00:00:00,2015-01-08 03:00:00
107.8,2015-01-07 00:00:00,2015-01-08 04:00:00
126.175,2015-01-07 00:00:00,2015-01-08 05:00:00
111.35,2015-01-07 00:00:00,2015-01-08 06:00:00
140.825,2015-01-07 00:00:00,2015-01-08 07:00:00
174.325,2015-01-07 00:00:00,2015-01-08 08:00:00
219.35,2015-01-07 00:00:00,2015-01-08 09:00:00
238.7,2015-01-07 00:00:00,2015-01-08 10:00:00
211.775,2015-01-07 00:00:00,2015-01-08 11:00:00
147.725,2015-01-07 00:00:00,2015-01-08 12:00:00
98.0,2015-01-07 00:00:00,2015-01-08 13:00:00
69.85,2015-01-07 00:00:00,2015-01-08 14:00:00
67.0,2015-01-07 00:00:00,2015-01-08 15:00:00
79.775,2015-01-07 00:00:00,2015-01-08 16:00:00
174.975,2015-01-07 00:00:00,2015-01-08 17:00:00
336.425,2015-01-07 00:00:00,2015-01-08 18:00:00
566.575,2015-01-07 00:00:00,2015-01-08 19:00:00
758.575,2015-01-07 00:00:00,2015-01-08 20:00:00
1012.325,2015-01-07 00:00:00,2015-01-08 21:00:00
1288.75,2015-01-07 00:00:00,2015-01-08 22:00:00
1546.325,2015-01-07 00:00:00,2015-01-08 23:00:00
1946.175,2015-01-08 00:00:00,2015-01-09 00:00:00
2252.6,2015-01-08 00:00:00,2015-01-09 01:00:00
2385.95,2015-01-08 00:00:00,2015-01-09 02:00:00
2366.45,2015-01-08 00:00:00,2015-01-09 03:00:00
2029.675,2015-01-08 00:00:00,2015-01-09 04:00:00
1694.225,2015-01-08 00:00:00,2015-01-09 05:00:00
1446.175,2015-01-08 00:00:00,2015-01-09 06:00:00
1240.8,2015-01-08 00:00:00,2015-01-09 07:00:00
1005.65,2015-01-08 00:00:00,2015-01-09 08:00:00
798.425,2015-01-08 00:00:00,2015-01-09 09:00:00
508.7,2015-01-08 00:00:00,2015-01-09 10:00:00
322.0,2015-01-08 00:00:00,2015-01-09 11:00:00
226.875,2015-01-08 00:00:00,2015-01-09 12:00:00
127.45,2015-01-08 00:00:00,2015-01-09 13:00:00
115.3,2015-01-08 00:00:00,2015-01-09 14:00:00
132.1,2015-01-08 00:00:00,2015-01-09 15:00:00
181.525,2015-01-08 00:00:00,2015-01-09 16:00:00
352.2,2015-01-08 00:00:00,2015-01-09 17:00:00
481.525,2015-01-08 00:00:00,2015-01-09 18:00:00
575.375,2015-01-08 00:00:00,2015-01-09 19:00:00
831.1,2015-01-08 00:00:00,2015-01-09 20:00:00
1027.5,2015-01-08 00:00:00,2015-01-09 21:00:00
1236.25,2015-01-08 00:00:00,2015-01-09 22:00:00
1287.775,2015-01-08 00:00:00,2015-01-09 23:00:00
1062.75,2015-01-09 00:00:00,2015-01-10 00:00:00
877.375,2015-01-09 00:00:00,2015-01-10 01:00:00
736.475,2015-01-09 00:00:00,2015-01-10 02:00:00
606.425,2015-01-09 00:00:00,2015-01-10 03:00:00
481.0,2015-01-09 00:00:00,2015-01-10 04:00:00
425.825,2015-01-09 00:00:00,2015-01-10 05:00:00
428.45,2015-01-09 00:00:00,2015-01-10 06:00:00
366.225,2015-01-09 00:00:00,2015-01-10 07:00:00
303.45,2015-01-09 00:00:00,2015-01-10 08:00:00
235.525,2015-01-09 00:00:00,2015-01-10 09:00:00
163.75,2015-01-09 00:00:00,2015-01-10 10:00:00
103.9,2015-01-09 00:00:00,2015-01-10 11:00:00
91.15,2015-01-09 00:00:00,2015-01-10 12:00:00
99.1,2015-01-09 00:00:00,2015-01-10 13:00:00
127.7,2015-01-09 00:00:00,2015-01-10 14:00:00
134.475,2015-01-09 00:00:00,2015-01-10 15:00:00
201.85,2015-01-09 00:00:00,2015-01-10 16:00:00
315.825,2015-01-09 00:00:00,2015-01-10 17:00:00
484.025,2015-01-09 00:00:00,2015-01-10 18:00:00
563.325,2015-01-09 00:00:00,2015-01-10 19:00:00
631.05,2015-01-09 00:00:00,2015-01-10 20:00:00
670.225,2015-01-09 00:00:00,2015-01-10 21:00:00
540.45,2015-01-09 00:00:00,2015-01-10 22:00:00
451.275,2015-01-09 00:00:00,2015-01-10 23:00:00
433.825,2015-01-10 00:00:00,2015-01-11 00:00:00
586.575,2015-01-10 00:00:00,2015-01-11 01:00:00
1043.625,2015-01-10 00:00:00,2015-01-11 02:00:00
1322.925,2015-01-10 00:00:00,2015-01-11 03:00:00
1424.275,2015-01-10 00:00:00,2015-01-11 04:00:00
1310.375,2015-01-10 00:00:00,2015-01-11 05:00:00
1213.8,2015-01-10 00:00:00,2015-01-11 06:00:00
1244.9,2015-01-10 00:00:00,2015-01-11 07:00:00
1204.175,2015-01-10 00:00:00,2015-01-11 08:00:00
1133.125,2015-01-10 00:00:00,2015-01-11 09:00:00
1082.425,2015-01-10 00:00:00,2015-01-11 10:00:00
1104.375,2015-01-10 00:00:00,2015-01-11 11:00:00
959.75,2015-01-10 00:00:00,2015-01-11 12:00:00
755.3,2015-01-10 00:00:00,2015-01-11 13:00:00
576.45,2015-01-10 00:00:00,2015-01-11 14:00:00
652.1,2015-01-10 00:00:00,2015-01-11 15:00:00
791.025,2015-01-10 00:00:00,2015-01-11 16:00:00
1017.875,2015-01-10 00:00:00,2015-01-11 17:00:00
1174.475,2015-01-10 00:00:00,2015-01-11 18:00:00
1276.15,2015-01-10 00:00:00,2015-01-11 19:00:00
1353.05,2015-01-10 00:00:00,2015-01-11 20:00:00
1359.375,2015-01-10 00:00:00,2015-01-11 21:00:00
1225.35,2015-01-10 00:00:00,2015-01-11 22:00:00
1154.1,2015-01-10 00:00:00,2015-01-11 23:00:00
954.925,2015-01-11 00:00:00,2015-01-12 00:00:00
752.7,2015-01-11 00:00:00,2015-01-12 01:00:00
615.875,2015-01-11 00:00:00,2015-01-12 02:00:00
597.125,2015-01-11 00:00:00,2015-01-12 03:00:00
680.8,2015-01-11 00:00:00,2015-01-12 04:00:00
776.475,2015-01-11 00:00:00,2015-01-12 05:00:00
862.65,2015-01-11 00:00:00,2015-01-12 06:00:00
957.95,2015-01-11 00:00:00,2015-01-12 07:00:00
1061.3,2015-01-11 00:00:00,2015-01-12 08:00:00
993.825,2015-01-11 00:00:00,2015-01-12 09:00:00
965.275,2015-01-11 00:00:00,2015-01-12 10:00:00
822.75,2015-01-11 00:00:00,2015-01-12 11:00:00
758.9,2015-01-11 00:00:00,2015-01-12 12:00:00
723.05,2015-01-11 00:00:00,2015-01-12 13:00:00
592.2,2015-01-11 00:00:00,2015-01-12 14:00:00
487.8,2015-01-11 00:00:00,2015-01-12 15:00:00
550.725,2015-01-11 00:00:00,2015-01-12 16:00:00
691.2,2015-01-11 00:00:00,2015-01-12 17:00:00
879.0,2015-01-11 00:00:00,2015-01-12 18:00:00
1085.975,2015-01-11 00:00:00,2015-01-12 19:00:00
1184.4,2015-01-11 00:00:00,2015-01-12 20:00:00
1245.025,2015-01-11 00:00:00,2015-01-12 21:00:00
1347.75,2015-01-11 00:00:00,2015-01-12 22:00:00
1445.125,2015-01-11 00:00:00,2015-01-12 23:00:00
1620.325,2015-01-12 00:00:00,2015-01-13 00:00:00
1735.725,2015-01-12 00:00:00,2015-01-13 01:00:00
1731.725,2015-01-12 00:00:00,2015-01-13 02:00:00
1717.775,2015-01-12 00:00:00,2015-01-13 03:00:00
1680.825,2015-01-12 00:00:00,2015-01-13 04:00:00
1715.6,2015-01-12 00:00:00,2015-01-13 05:00:00
1720.525,2015-01-12 00:00:00,2015-01-13 06:00:00
1804.55,2015-01-12 00:00:00,2015-01-13 07:00:00
1825.525,2015-01-12 00:00:00,2015-01-13 08:00:00
1833.25,2015-01-12 00:00:00,2015-01-13 09:00:00
1751.125,2015-01-12 00:00:00,2015-01-13 10:00:00
1709.825,2015-01-12 00:00:00,2015-01-13 11:00:00
1675.925,2015-01-12 00:00:00,2015-01-13 12:00:00
1664.775,2015-01-12 00:00:00,2015-01-13 13:00:00
1625.65,2015-01-12 00:00:00,2015-01-13 14:00:00
1409.825,2015-01-12 00:00:00,2015-01-13 15:00:00
1301.8,2015-01-12 00:00:00,2015-01-13 16:00:00
1310.025,2015-01-12 00:00:00,2015-01-13 17:00:00
1209.45,2015-01-12 00:00:00,2015-01-13 18:00:00
1092.675,2015-01-12 00:00:00,2015-01-13 19:00:00
913.375,2015-01-12 00:00:00,2015-01-13 20:00:00
810.55,2015-01-12 00:00:00,2015-01-13 21:00:00
713.225,2015-01-12 00:00:00,2015-01-13 22:00:00
716.375,2015-01-12 00:00:00,2015-01-13 23:00:00
,2015-01-13 00:00:00,2015-01-14 00:00:00
,2015-01-13 00:00:00,2015-01-14 01:00:00
,2015-01-13 00:00:00,2015-01-14 02:00:00
,2015-01-13 00:00:00,2015-01-14 03:00:00
,2015-01-13 00:00:00,2015-01-14 04:00:00
,2015-01-13 00:00:00,2015-01-14 05:00:00
,2015-01-13 00:00:00,2015-01-14 06:00:00
,2015-01-13 00:00:00,2015-01-14 07:00:00
,2015-01-13 00:00:00,2015-01-14 08:00:00
,2015-01-13 00:00:00,2015-01-14 09:00:00
,2015-01-13 00:00:00,2015-01-14 10:00:00
,2015-01-13 00:00:00,2015-01-14 11:00:00
,2015-01-13 00:00:00,2015-01-14 12:00:00
,2015-01-13 00:00:00,2015-01-14 13:00:00
,2015-01-13 00:00:00,2015-01-14 14:00:00
,2015-01-13 00:00:00,2015-01-14 15:00:00
,2015-01-13 00:00:00,2015-01-14 16:00:00
,2015-01-13 00:00:00,2015-01-14 17:00:00
,2015-01-13 00:00:00,2015-01-14 18:00:00
,2015-01-13 00:00:00,2015-01-14 19:00:00
,2015-01-13 00:00:00,2015-01-14 20:00:00
,2015-01-13 00:00:00,2015-01-14 21:00:00
,2015-01-13 00:00:00,2015-01-14 22:00:00
,2015-01-13 00:00:00,2015-01-14 23:00:00
2630.45,2015-01-14 00:00:00,2015-01-15 00:00:00
2766.725,2015-01-14 00:00:00,2015-01-15 01:00:00
2911.575,2015-01-14 00:00:00,2015-01-15 02:00:00
3008.75,2015-01-14 00:00:00,2015-01-15 03:00:00
3057.15,2015-01-14 00:00:00,2015-01-15 04:00:00
3152.05,2015-01-14 00:00:00,2015-01-15 05:00:00
3196.85,2015-01-14 00:00:00,2015-01-15 06:00:00
3276.775,2015-01-14 00:00:00,2015-01-15 07:00:00
3372.65,2015-01-14 00:00:00,2015-01-15 08:00:00
3406.1,2015-01-14 00:00:00,2015-01-15 09:00:00
3525.025,2015-01-14 00:00:00,2015-01-15 10:00:00
3773.95,2015-01-14 00:00:00,2015-01-15 11:00:00
3805.975,2015-01-14 00:00:00,2015-01-15 12:00:00
3743.65,2015-01-14 00:00:00,2015-01-15 13:00:00
3800.3,2015-01-14 00:00:00,2015-01-15 14:00:00
3528.675,2015-01-14 00:00:00,2015-01-15 15:00:00
2802.275,2015-01-14 00:00:00,2015-01-15 16:00:00
2559.825,2015-01-14 00:00:00,2015-01-15 17:00:00
2880.8,2015-01-14 00:00:00,2015-01-15 18:00:00
2868.25,2015-01-14 00:00:00,2015-01-15 19:00:00
2818.4,2015-01-14 00:00:00,2015-01-15 20:00:00
2865.4,2015-01-14 00:00:00,2015-01-15 21:00:00
3044.35,2015-01-14 00:00:00,2015-01-15 22:00:00
3248.825,2015-01-14 00:00:00,2015-01-15 23:00:00
3245.15,2015-01-15 00:00:00,2015-01-16 00:00:00
3287.25,2015-01-15 00:00:00,2015-01-16 01:00:00
3344.125,2015-01-15 00:00:00,2015-01-16 02:00:00
3173.95,2015-01-15 00:00:00,2015-01-16 03:00:00
2647.15,2015-01-15 00:00:00,2015-01-16 04:00:00
2282.775,2015-01-15 00:00:00,2015-01-16 05:00:00
2189.975,2015-01-15 00:00:00,2015-01-16 06:00:00
1847.225,2015-01-15 00:00:00,2015-01-16 07:00:00
1649.175,2015-01-15 00:00:00,2015-01-16 08:00:00
1451.875,2015-01-15 00:00:00,2015-01-16 09:00:00
1343.1,2015-01-15 00:00:00,2015-01-16 10:00:00
1406.4,2015-01-15 00:00:00,2015-01-16 11:00:00
1247.725,2015-01-15 00:00:00,2015-01-16 12:00:00
1178.95,2015-01-15 00:00:00,2015-01-16 13:00:00
1238.575,2015-01-15 00:00:00,2015-01-16 14:00:00
1323.4,2015-01-15 00:00:00,2015-01-16 15:00:00
1164.3,2015-01-15 00:00:00,2015-01-16 16:00:00
1105.65,2015-01-15 00:00:00,2015-01-16 17:00:00
1136.125,2015-01-15 00:00:00,2015-01-16 18:00:00
1169.8,2015-01-15 00:00:00,2015-01-16 19:00:00
1108.6,2015-01-15 00:00:00,2015-01-16 20:00:00
1075.65,2015-01-15 00:00:00,2015-01-16 21:00:00
836.8,2015-01-15 00:00:00,2015-01-16 22:00:00
675.975,2015-01-15 00:00:00,2015-01-16 23:00:00
700.85,2015-01-16 00:00:00,2015-01-17 00:00:00
622.575,2015-01-16 00:00:00,2015-01-17 01:00:00
441.825,2015-01-16 00:00:00,2015-01-17 02:00:00
400.0,2015-01-16 00:00:00,2015-01-17 03:00:00
415.525,2015-01-16 00:00:00,2015-01-17 04:00:00
417.15,2015-01-16 00:00:00,2015-01-17 05:00:00
375.375,2015-01-16 00:00:00,2015-01-17 06:00:00
340.05,2015-01-16 00:00:00,2015-01-17 07:00:00
326.125,2015-01-16 00:00:00,2015-01-17 08:00:00
280.275,2015-01-16 00:00:00,2015-01-17 09:00:00
206.075,2015-01-16 00:00:00,2015-01-17 10:00:00
245.975,2015-01-16 00:00:00,2015-01-17 11:00:00
318.125,2015-01-16 00:00:00,2015-01-17 12:00:00
490.05,2015-01-16 00:00:00,2015-01-17 13:00:00
678.25,2015-01-16 00:00:00,2015-01-17 14:00:00
904.1,2015-01-16 00:00:00,2015-01-17 15:00:00
1162.675,2015-01-16 00:00:00,2015-01-17 16:00:00
1605.8,2015-01-16 00:00:00,2015-01-17 17:00:00
2219.075,2015-01-16 00:00:00,2015-01-17 18:00:00
2839.725,2015-01-16 00:00:00,2015-01-17 19:00:00
3255.85,2015-01-16 00:00:00,2015-01-17 20:00:00
3373.4,2015-01-16 00:00:00,2015-01-17 21:00:00
3364.475,2015-01-16 00:00:00,2015-01-17 22:00:00
3311.475,2015-01-16 00:00:00,2015-01-17 23:00:00
3051.55,2015-01-17 00:00:00,2015-01-18 00:00:00
2741.475,2015-01-17 00:00:00,2015-01-18 01:00:00
2393.125,2015-01-17 00:00:00,2015-01-18 02:00:00
2130.825,2015-01-17 00:00:00,2015-01-18 03:00:00
1864.3,2015-01-17 00:00:00,2015-01-18 04:00:00
1592.625,2015-01-17 00:00:00,2015-01-18 05:00:00
1410.775,2015-01-17 00:00:00,2015-01-18 06:00:00
1209.825,2015-01-17 00:00:00,2015-01-18 07:00:00
991.075,2015-01-17 00:00:00,2015-01-18 08:00:00
821.8,2015-01-17 00:00:00,2015-01-18 09:00:00
629.025,2015-01-17 00:00:00,2015-01-18 10:00:00
479.825,2015-01-17 00:00:00,2015-01-18 11:00:00
308.95,2015-01-17 00:00:00,2015-01-18 12:00:00
246.2,2015-01-17 00:00:00,2015-01-18 13:00:00
273.825,2015-01-17 00:00:00,2015-01-18 14:00:00
447.85,2015-01-17 00:00:00,2015-01-18 15:00:00
856.225,2015-01-17 00:00:00,2015-01-18 16:00:00
1552.275,2015-01-17 00:00:00,2015-01-18 17:00:00
2528.45,2015-01-17 00:00:00,2015-01-18 18:00:00
3232.375,2015-01-17 00:00:00,2015-01-18 19:00:00
3571.75,2015-01-17 00:00:00,2015-01-18 20:00:00
3745.125,2015-01-17 00:00:00,2015-01-18 21:00:00
3849.25,2015-01-17 00:00:00,2015-01-18 22:00:00
3944.175,2015-01-17 00:00:00,2015-01-18 23:00:00
3925.6,2015-01-18 00:00:00,2015-01-19 00:00:00
3871.1,2015-01-18 00:00:00,2015-01-19 01:00:00
3875.1,2015-01-18 00:00:00,2015-01-19 02:00:00
3817.7,2015-01-18 00:00:00,2015-01-19 03:00:00
3771.1,2015-01-18 00:00:00,2015-01-19 04:00:00
3671.825,2015-01-18 00:00:00,2015-01-19 05:00:00
3496.325,2015-01-18 00:00:00,2015-01-19 06:00:00
3340.025,2015-01-18 00:00:00,2015-01-19 07:00:00
3113.1,2015-01-18 00:00:00,2015-01-19 08:00:00
2656.45,2015-01-18 00:00:00,2015-01-19 09:00:00
2368.275,2015-01-18 00:00:00,2015-01-19 10:00:00
2141.025,2015-01-18 00:00:00,2015-01-19 11:00:00
1977.9,2015-01-18 00:00:00,2015-01-19 12:00:00
1884.775,2015-01-18 00:00:00,2015-01-19 13:00:00
1708.55,2015-01-18 00:00:00,2015-01-19 14:00:00
1411.275,2015-01-18 00:00:00,2015-01-19 15:00:00
1243.175,2015-01-18 00:00:00,2015-01-19 16:00:00
1194.675,2015-01-18 00:00:00,2015-01-19 17:00:00
1185.9,2015-01-18 00:00:00,2015-01-19 18:00:00
1220.575,2015-01-18 00:00:00,2015-01-19 19:00:00
1092.45,2015-01-18 00:00:00,2015-01-19 20:00:00
985.4,2015-01-18 00:00:00,2015-01-19 21:00:00
960.775,2015-01-18 00:00:00,2015-01-19 22:00:00
953.425,2015-01-18 00:00:00,2015-01-19 23:00:00
,2015-01-19 00:00:00,2015-01-20 00:00:00
,2015-01-19 00:00:00,2015-01-20 01:00:00
,2015-01-19 00:00:00,2015-01-20 02:00:00
,2015-01-19 00:00:00,2015-01-20 03:00:00
,2015-01-19 00:00:00,2015-01-20 04:00:00
,2015-01-19 00:00:00,2015-01-20 05:00:00
,2015-01-19 00:00:00,2015-01-20 06:00:00
